country,iso_alpha,year,value
Belgium,BEL,2011,55381
Bulgaria,BGR,2011,1832
Czechia,CZE,2011,37170
Denmark,DNK,2011,34374
Germany,DEU,2011,748029
Estonia,EST,2011,5161
Ireland,IRL,2011,11148
Greece,GRC,2011,12651
Spain,ESP,2011,363846
France,FRA,2011,483977
Croatia,HRV,2011,10912
Italy,ITA,2011,321594
Cyprus,CYP,2011,1752
Latvia,LVA,2011,1079
Lithuania,LTU,2011,3266
Luxembourg,LUX,2011,6330
Hungary,HUN,2011,14352
Malta,MLT,2011,2122
Netherlands,NLD,2011,119978
Austria,AUT,2011,58359
Poland,POL,2011,69696
Portugal,PRT,2011,121910
Romania,ROU,2011,3083
Slovenia,SVN,2011,12468
Slovakia,SVK,2011,7771
Finland,FIN,2011,40331
Sweden,SWE,2011,24139
Iceland,ISL,2011,609
Norway,NOR,2011,14889
Switzerland,CHE,2011,71819
United Kingdom,GBR,2011,156588

Belgium,BEL,2012,49592
Bulgaria,BGR,2012,1858
Czechia,CZE,2012,36135
Denmark,DNK,2012,34288
Germany,DEU,2012,710413
Estonia,EST,2012,5004
Ireland,IRL,2012,9836
Greece,GRC,2012,10090
Spain,ESP,2012,281318
France,FRA,2012,461900
Croatia,HRV,2012,8894
Italy,ITA,2012,274509
Cyprus,CYP,2012,1518
Latvia,LVA,2012,1246
Lithuania,LTU,2012,2204
Luxembourg,LUX,2012,6312
Hungary,HUN,2012,16777
Malta,MLT,2012,2197
Netherlands,NLD,2012,116060
Austria,AUT,2012,56436
Poland,POL,2012,67775
Portugal,PRT,2012,109673
Romania,ROU,2012,3146
Slovenia,SVN,2012,11526
Slovakia,SVK,2012,7518
Finland,FIN,2012,34853
Sweden,SWE,2012,24901
Iceland,ISL,2012,1063
Norway,NOR,2012,24424
Switzerland,CHE,2012,72166
United Kingdom,GBR,2012,143320

Belgium,BEL,2013,46807
Bulgaria,BGR,2013,1734
Czechia,CZE,2013,35382
Denmark,DNK,2013,32898
Germany,DEU,2013,722288
Estonia,EST,2013,5381
Ireland,IRL,2013,13480
Greece,GRC,2013,8728
Spain,ESP,2013,274215
France,FRA,2013,440916
Croatia,HRV,2013,8951
Italy,ITA,2013,270092
Cyprus,CYP,2013,1309
Latvia,LVA,2013,1403
Lithuania,LTU,2013,2358
Luxembourg,LUX,2013,6122
Hungary,HUN,2013,15451
Malta,MLT,2013,2229
Netherlands,NLD,2013,108131
Austria,AUT,2013,54575
Poland,POL,2013,60104
Portugal,PRT,2013,107231
Romania,ROU,2013,3343
Slovenia,SVN,2013,10154
Slovakia,SVK,2013,7523
Finland,FIN,2013,35553
Sweden,SWE,2013,24344
Iceland,ISL,2013,1180
Norway,NOR,2013,11751
Switzerland,CHE,2013,73061
United Kingdom,GBR,2013,160128

Belgium,BEL,2014,46749
Bulgaria,BGR,2014,1882
Czechia,CZE,2014,36723
Denmark,DNK,2014,31798
Germany,DEU,2014,707455
Estonia,EST,2014,5406
Ireland,IRL,2014,13148
Greece,GRC,2014,3177
Spain,ESP,2014,288056
France,FRA,2014,468386
Croatia,HRV,2014,9018
Italy,ITA,2014,252228
Cyprus,CYP,2014,1363
Latvia,LVA,2014,1448
Lithuania,LTU,2014,2550
Luxembourg,LUX,2014,6164
Hungary,HUN,2014,15992
Malta,MLT,2014,2277
Netherlands,NLD,2014,56416
Austria,AUT,2014,53087
Poland,POL,2014,59639
Portugal,PRT,2014,111282
Romania,ROU,2014,3354
Slovenia,SVN,2014,10036
Slovakia,SVK,2014,7404
Finland,FIN,2014,33153
Sweden,SWE,2014,21379
Iceland,ISL,2014,837
Norway,NOR,2014,5752
Switzerland,CHE,2014,72919
United Kingdom,GBR,2014,160907

Belgium,BEL,2015,46066
Bulgaria,BGR,2015,1887
Czechia,CZE,2015,37155
Denmark,DNK,2015,29268
Germany,DEU,2015,707563
Estonia,EST,2015,5286
Ireland,IRL,2015,11561
Greece,GRC,2015,3422
Spain,ESP,2015,312852
France,FRA,2015,466415
Croatia,HRV,2015,9999
Italy,ITA,2015,239865
Cyprus,CYP,2015,1381
Latvia,LVA,2015,1402
Lithuania,LTU,2015,2650
Luxembourg,LUX,2015,6286
Hungary,HUN,2015,17094
Malta,MLT,2015,1943
Netherlands,NLD,2015,53715
Austria,AUT,2015,51349
Poland,POL,2015,62687
Portugal,PRT,2015,113540
Romania,ROU,2015,3858
Slovenia,SVN,2015,10226
Slovakia,SVK,2015,8003
Finland,FIN,2015,30656
Sweden,SWE,2015,21917
Iceland,ISL,2015,879
Norway,NOR,2015,6113
Switzerland,CHE,2015,72467
United Kingdom,GBR,2015,156643

Belgium,BEL,2016,48063
Bulgaria,BGR,2016,1766
